#Launch_Tag	Launch_JD	Launch_Date	LV_Type	Variant	Fairing	Flight_ID	Flight	Mission	FlightCode	Platform	Launch_Site	Launch_Pad	Ascent_Site	Ascent_Pad	Perigee	Apogee	Apoflag	Inc	Azimuth	Range	RangeFlag	Dest	OrbMass	OrbPay	Agency	LaunchCode	FailCode	Group	Category	LTCite	Cite	Notes
# Updated 2026 Sep  3 1631:27
2023-035 	2460020.44 	2023 Mar 16 2238:59	Electron	-	-	34	Stronger Together	Capella 9/10	-	-	MARS	Pad 0C	-	-	    178	    300	 	 44.0 	   -	    -	 	-	   0.000 	   0.224 	RLABU	OS  	-	C	Sat LEO OO	Wire	-	-
2023-041 	2460027.89 	2023 Mar 24 0914:56	Electron	-	-	35	The Beat Goes On	Global-19/Global-5	-	-	MAHIA	LC1B	-	-	    180	    448	 	 42.0 	   -	    -	 	-	   0.000 	   0.130 	RLABN	OS  	-	C	Sat LEO OL	Wire	-	-
2023-062 	2460072.54 	2023 May  8 0100	Electron	-	-	36	Rocket Like A Hurricane	Tropics SV05/SV06	-	-	MAHIA	LC1B	-	-	    538	    562	 	 35.4 	   -	    -	 	-	   0.000 	   0.008 	RLABN	OS  	-	C/G	Sat LEO OO	Wire	-	-
2023-073 	2460090.66 	2023 May 26 0346	Electron	-	-	37	Coming To A Storm Near Y	Tropics SV03/SV07	-	-	MAHIA	LC1B	-	-	    523	    559	 	 35.4 	   -	    -	 	-	   0.000 	   0.008 	RLABN	OS  	-	C/G	Sat LEO OO	Wire	-	-
2023-S29  	2460113.56 	2023 Jun 18 0124	HASTE	-	-	38	Scout's Arrow	DYNAMO-A	-	-	MARS	Pad 0C	-	-	      -	   1300	 	-	   -	    -	 	-	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	youtube.com	-	-
2023-100 	2460143.56 	2023 Jul 18 0127	Electron	-	-	39	Baby Come Back	Electron 39 Rideshare	LEO-3/Starling/Lemur	-	MAHIA	LC1B	-	-	    200	    579	 	 99.4 	   -	    -	 	-	   0.000 	   0.088 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2023-126 	2460180.49 	2023 Aug 23 2345	Electron	-	-	40	We Love The Nightlife	Capella 11 Acadia-1	-	-	MAHIA	LC1B	-	-	    180	    657	 	 53.0 	   -	    -	 	-	   0.000 	   0.180 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2023-F08  	2460206.79 	2023 Sep 19 0655	Electron	-	-	41	We Will Never Desert You	Capella 12 Acadia-2	-	-	MAHIA	LC1B	-	-	  -6120	    132	 	 51.1 	   -	    -	 	-	   0.000 	   0.180 	RLABN	OF  	S2E	C	Sat LEO OO	Wire	-	Stage 2 electrical arc
2023-196 	2460293.67 	2023 Dec 15 0405:54?	Electron	-	-	42	The Moon God Awakens	QPS-SAR-5	-	-	MAHIA	LC1B	-	-	    233	    573	 	 42.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2024-022 	2460340.77 	2024 Jan 31 0634	Electron	-	-	43	Four of a Kind	Lemur SSA 1-4	-	-	MAHIA	LC1B	-	-	    179	    527	 	 97.4 	   -	    -	 	-	   0.000 	   0.100 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2024-034 	2460359.12 	2024 Feb 18 1452	Electron	-	-	44	On Closer Inspection	ADRAS-J	-	-	MAHIA	LC1B	-	-	    204	    537	 	 98.2 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2024-047 	2460382.13 	2024 Mar 12 1503	Electron	-	-	45	Owl Night Long	Strix-3	-	-	MAHIA	LC1B	-	-	    175	    532	 	 97.5 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2024-053 	2460390.81 	2024 Mar 21 0725	Electron	-	-	46	Live and Let Fly	NROL-123	USA 350-352	-	MARS	Pad 0C	-	-	    253	    500	?	 50.0 	   -	    -	 	-	   0.000 	   0.130 	RLABU	OS  	-	C/G	Sat LEO OO	Wire	-	-
2024-077 	2460424.44 	2024 Apr 23 2232	Electron	-	-	47	Beginning of the Swarm	Neonsat-1	Neonsat-1	-	MAHIA	LC1B	-	-	    169	    513	 	 97.4 	   -	    -	 	-	   0.000 	   0.116 	RLABN	OS  	-	C/OG	Sat SSO OO	Wire	-	-
2024-099 	2460455.82 	2024 May 25 0741	Electron	-	-	48	Ready, Aim, Prefire	PREFIRE-1	-	-	MAHIA	LC1B	-	-	    199	    531	 	 97.4 	   -	    -	 	-	   0.000 	   0.010 	RLABN	OS  	-	C/G	Sat SSO OO	Wire	-	-
2024-108 	2460466.64 	2024 Jun  5 0315	Electron	-	-	49	Prefire and Ice	PREFIRE-2	-	-	MAHIA	LC1B	-	-	    191	    523	 	 97.5 	   -	    -	 	-	   0.000 	   0.010 	RLABN	OS  	-	C/G	Sat SSO OO	Wire	-	-
2024-114 	2460482.26 	2024 Jun 20 1813	Electron	-	-	50	No Time Toulouse	Kineis 1A-1E	-	-	MAHIA	LC1B	-	-	    195	    626	 	 98.0 	   -	    -	 	-	   0.000 	   0.140 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2024-137 	2460525.19 	2024 Aug  2 1639	Electron	-	-	51	Owl for One, One for Owl	Strix-4	-	-	MAHIA	LC1B	-	-	    200	    498	 	 43.0 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2024-142 	2460534.05 	2024 Aug 11 1318	Electron	-	-	52	A Sky full of SARs	Capella 13 Acadia-3	-	-	MAHIA	LC1B	-	-	    180	    614	 	 53.0 	   -	    -	 	-	   0.000 	   0.180 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2024-172 	2460574.46 	2024 Sep 20 2301	Electron	-	-	53	Kineis Killed the RadIOT	Kineis 3A-3E	-	-	MAHIA	LC1A	-	-	    181	    621	 	 98.0 	   -	    -	 	-	   0.000 	   0.140 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
